Directory Name	Species	Common name	Other species names	Species Taxonomy ID	Taxonomic Lineage	Assembly name	NCBI accession	Source of assembly	NCBI assembly name	NCBI assembly status	Assembly submission date	Assembly submitter organization	contig N50 (bp)	scaffold N50 (bp)	No. ancestral genes with intact ORF	No. ancestral genes with inactivating mutations	No. ancestral genes with missing sequences
Nomascus_leucogenys__Northern_white-cheeked_gibbon__HLnomLeuc5__GCA_040113115.1	Nomascus leucogenys	Northern white-cheeked gibbon	Hylobates concolor leucogenys,Nomascus leucogenys leucogenys,Nomascus leukogenys,Hylobates leucogenys,Hylobates concolor leucogyneus,Hylobates leucogenys leucogenys,White-cheeked Gibbon	61853	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus	HLnomLeuc5	GCA_040113115.1	NCBI	ASM4011311v1	Chromosome	2024-06-12	Shandong University of Technology	102188915	124246014	15109	75	12
Nomascus_siki__southern_white-cheeked_gibbon__HLnomSik1__GCA_023783065.1	Nomascus siki	southern white-cheeked gibbon	Hylobates concolor siki,Nomascus leucogenys siki	9586	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Nomascus	HLnomSik1	GCA_023783065.1	NCBI	ASM2378306v1	Scaffold	2022-06-17	BGI-Shenzhen	8523852	19995890	13665	1363	168
Symphalangus_syndactylus__siamang__HLsymSyn3__GCF_028878055.1	Symphalangus syndactylus	siamang	Simia syndactyla,Hylobates syndactylus	9590	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Symphalangus	HLsymSyn3	GCF_028878055.1	NCBI	NHGRI_mSymSyn1-v1.1-hic.freeze_pri	Chromosome	2023-02-28	National Human Genome Research Institute, National Institutes of Health	141752677	142586120	14338	707	151
Symphalangus_syndactylus__siamang__HLsymSyn4__GCA_028878055.3	Symphalangus syndactylus	siamang	Hylobates syndactylus,Simia syndactyla	9590	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Catarrhini; Hominoidea; Hylobatidae; Symphalangus	HLsymSyn4	GCA_028878055.3	NCBI			2024-01-12		146713733	146713733	15086	103	7
Aotus_nancymaae__Mas_night_monkey__aotNan1__GCF_000952055.2	Aotus nancymaae	Mas night monkey	Aotus nancymai	37293	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Aotidae; Aotus	aotNan1	GCF_000952055.2	NCBI	Anan_2.0	Scaffold	2017-06-09	Baylor College of Medicine	126456	8268663	13480	1416	300
Alouatta_caraya__Black_howler_monkey__HLaloCara1__GCA_963575295.1	Alouatta caraya	Black howler monkey	Simia caraya	9502	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Alouattinae; Alouatta	HLaloCara1	GCA_963575295.1	NCBI	PGDP_AloCar	Scaffold	2023-11-02	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	32391	32393	11833	1031	2332
Alouatta_palliata__mantled_howler_monkey__HLaloPal1__GCA_004027835.1	Alouatta palliata	mantled howler monkey		30589	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Alouattinae; Alouatta	HLaloPal1	GCA_004027835.1	NCBI	AloPal_v1_BIUU	Scaffold	2019-01-16	Broad Institute	51304	72427	13465	494	1237
Alouatta_macconnelli__red_howler_monkey__HLaloCar1	Alouatta macconnelli	red howler monkey		198115	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Alouattinae; Alouatta	HLaloCar1	https://ngdc.cncb.ac.cn/gwh/Assembly/130756/show; Ningyawen Liu	https://ngdc.cncb.ac.cn/gwh/Assembly/130756/show; Ningyawen Liu			2022-05-21		112554496	112554496	15046	139	11
Ateles_belzebuth__White-bellied_spider_monkey__HLateBel1__GCA_963573605.1	Ateles belzebuth	White-bellied spider monkey	long-haired spider monkey	9507	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateBel1	GCA_963573605.1	NCBI	PGDP_AteBel	Scaffold	2023-10-31	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	51917	51919	13217	529	1450
Ateles_chamek__Black_spider_monkey__HLateCha1__GCA_963574935.1	Ateles chamek	Black spider monkey	Ateles paniscus chamek,Simia chamek,Ateles chamek (Humboldt, 1812),Ateles belzebuth chamek,Chamek spider monkey	118643	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateCha1	GCA_963574935.1	NCBI	PGDP_AteCha	Scaffold	2023-10-31	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	51908	51921	13225	554	1417
Ateles_fusciceps__Brown-headed_spider_monkey__HLateFus1__GCA_036589455.2	Ateles fusciceps	Brown-headed spider monkey	Ateles geoffroyi fusciceps	9508	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateFus1	GCA_036589455.2	NCBI	USFQ_Afusci_2	Scaffold	2024-12-17	Universidad San Francisco de Quito	7542955	7560531	4262	10905	29
Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo1__GCA_004024785.1	Ateles geoffroyi	black-handed spider monkey	Central American spider monkey	9509	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateGeo1	GCA_004024785.1	NCBI	AteGeo_v1_BIUU	Scaffold	2019-01-15	Broad Institute	59033	73111	13649	498	1049
Ateles_geoffroyi__black-handed_spider_monkey__HLateGeo2__GCA_023783555.1	Ateles geoffroyi	black-handed spider monkey	Central American spider monkey	9509	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateGeo2	GCA_023783555.1	NCBI	ASM2378355v1	Contig	2022-06-17	BGI-Shenzhen	29212752	29212752	13331	1821	44
Ateles_hybridus__brown_spider_monkey__HLateHyb1__GCA_916098195.1	Ateles hybridus	brown spider monkey	Ateles belzebuth hybridus	129801	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateHyb1	GCA_916098195.1	NCBI	ORGONE_01	Scaffold	2021-09-22	IBE (Institut de Biologia Evolutiva))	50515269	50515269	3875	11295	26
Ateles_marginatus__White-cheeked_spider_monkey__HLateMar1__GCA_963573555.1	Ateles marginatus	White-cheeked spider monkey		1529884	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateMar1	GCA_963573555.1	NCBI	PGDP_AteMar	Scaffold	2023-11-02	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	53900	53900	13239	589	1368
Ateles_paniscus__Red-faced_black_spider_monkey__HLatePan1__GCA_963573985.1	Ateles paniscus	Red-faced black spider monkey	Simia paniscus	9510	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLatePan1	GCA_963573985.1	NCBI	PGDP_AtePan	Scaffold	2023-10-31	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	58585	58589	13354	528	1314
Ateles_belzebuth__White-bellied_spider_monkey__HLateBelz2__GCA_057808415.1	Ateles belzebuth	White-bellied spider monkey	long-haired spider monkey	9507	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Ateles	HLateBelz2	GCA_057808415.1	NCBI	USFQ_Abelze_01	Contig	2026-06-01	Universidad San Francisco de Quito	12780818	12780818	15068	103	25
Brachyteles_arachnoides__Woolly_spider_monkey__HLbraAra1__GCA_047496155.1	Brachyteles arachnoides	Woolly spider monkey	Simia arachnoides,muriqui	30594	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Brachyteles	HLbraAra1	GCA_047496155.1	NCBI	ASM4749615v1	Contig	2025-02-07	Kent State University	58885235	58885235	14159	1025	12
Brachyteles_hypoxanthus__Northern_muriqui__HLbraHypo1__GCA_049997475.1	Brachyteles hypoxanthus	Northern muriqui	Simia hypoxantha,Brachyteles arachnoides hypoxanthus	342807	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Brachyteles	HLbraHypo1	GCA_049997475.1	NCBI	UFG_Bhy_1.0	Scaffold	2025-04-29	Primate Conservation Sequencing Consortium	16955	29133	12729	741	1726
Lagothrix_lagotricha__Brown_woolly_monkey__HLlagLag1__GCA_963574225.1	Lagothrix lagotricha	Brown woolly monkey	Humboldt's woolly monkey,common woolly monkey,Simia lagotricha,Lagothrix lagotricha lagotricha	9519	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Atelidae; Atelinae; Lagothrix	HLlagLag1	GCA_963574225.1	NCBI	PGDP_LagLag	Scaffold	2023-10-31	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	71029	71029	13575	531	1090
Callimico_goeldii__Goeldis_marmoset__HLcalGoe1	Callimico goeldii	Goeldis marmoset	Goeldi's monkey,Midas goeldii	9495	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callimico	HLcalGoe1	DNA Zoo Consortium	DNA Zoo Consortium			2022-07-11		46120	111553634	13745	561	890
Callithrix_jacchus__white-tufted-ear_marmoset__HLcalJac5__GCF_011100555.1	Callithrix jacchus	white-tufted-ear marmoset	Callithrix jacchus jacchus,common marmoset,white ear-tufted marmoset,Simia jacchus	9483	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	HLcalJac5	GCF_011100555.1	NCBI	mCalJa1.2.pat.X	Chromosome	2021-04-28	Vertebrate Genomes Project	13222669	136971485	14859	315	22
Callithrix_jacchus__White-tufted-ear_marmoset__HLcalJacc6__GCA_049354715.1	Callithrix jacchus	White-tufted-ear marmoset	white ear-tufted marmoset,Simia jacchus,common marmoset,Callithrix jacchus jacchus	9483	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	HLcalJacc6	GCA_049354715.1	NCBI	calJac240_pri	Chromosome	2025-04-08	University of California Santa Cruz	137132494	141933726	15062	126	8
Callithrix_penicillata__Black-pencilled_marmoset__HLcalPen1__GCA_046862485.1	Callithrix penicillata	Black-pencilled marmoset	Simia penicillata,black tufted-ear marmoset,Callithrix jacchus penicillata	57378	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	HLcalPen1	GCA_046862485.1	NCBI	Cpen_1.0	Chromosome	2025-01-22	Arizona State University	32659	124262003	11407	1669	2120
Callithrix_jacchus__white-tufted-ear_marmoset__calJac4__GCF_009663435.1	Callithrix jacchus	white-tufted-ear marmoset	Callithrix jacchus jacchus,common marmoset,white ear-tufted marmoset	9483	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Callithrix; Callithrix	calJac4	GCF_009663435.1	NCBI	Callithrix_jacchus_cj1700_1.1	Chromosome	2020-05-22	McDonnell Genome Institute at Washington University	25227091	98198953	15007	168	21
Cebuella_pygmaea__pygmy_marmoset__HLcalPym1	Cebuella pygmaea	pygmy marmoset	Callithrix pygmaea	9493	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Cebuella	HLcalPym1	DNA Zoo Consortium	DNA Zoo Consortium			2020-09-03		56835	118608034	13953	483	760
Leontocebus_fuscicollis__Brown-headed_tamarin__HLleoFusc1__GCA_963575285.1	Leontocebus fuscicollis	Brown-headed tamarin	Saguinus fuscicollis,saddlebacked tamarin, 1823),Leontocebus fuscicollis (Spix,Midas fuscicollis,saddle-backed tamarin	9487	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Leontocebus	HLleoFusc1	GCA_963575285.1	NCBI	PGDP_LeoFus	Scaffold	2023-11-03	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	28038	28049	11755	933	2508
Leontopithecus_chrysomelas__golden-headed_lion_tamarin__HLleoChr1	Leontopithecus chrysomelas	golden-headed lion tamarin	Leontopithecus rosalia chrysomelas,Midas chrysomelas,gold-and-black lion tamarin	57374	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Leontopithecus	HLleoChr1	DNA Zoo Consortium	DNA Zoo Consortium			2023-05-05		47635	117770500	13871	502	823
Leontopithecus_rosalia__golden_lion_tamarin__HLleoRos1	Leontopithecus rosalia	golden lion tamarin	Leontopithecus rosalia rosalia	30588	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Leontopithecus	HLleoRos1	DNA Zoo Consortium	DNA Zoo Consortium			2022-07-13		55332	121128971	14051	483	662
Leontopithecus_rosalia__Golden_lion_tamarin__HLleoRosa2A__GCA_054824895.1	Leontopithecus rosalia	Golden lion tamarin	Leontopithecus rosalia rosalia	30588	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Leontopithecus	HLleoRosa2A	GCA_054824895.1	NCBI	mLeoRos1.hap1	Chromosome	2026-01-29	Vertebrate Genomes Project	54097536	144012852	14102	903	191
Saguinus_imperator__tamarin__HLsagImp1__GCA_004024885.1	Saguinus imperator	tamarin	emperor tamarin	9491	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Saguinus	HLsagImp1	GCA_004024885.1	NCBI	SagImp_v1_BIUU	Scaffold	2019-01-15	Broad Institute	53787	65636	13852	479	865
Saguinus_midas__Midas_tamarin__HLsagMid1__GCA_021498475.1	Saguinus midas	Midas tamarin		30586	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Saguinus	HLsagMid1	GCA_021498475.1	NCBI	ASM2149847v1	Chromosome	2022-01-19	BGI-Shenzhen	10987047	143273090	13605	1481	110
Saguinus_oedipus__Cotton-top_tamarin__HLsagOed1__GCA_031835075.1	Saguinus oedipus	Cotton-top tamarin		9490	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Saguinus	HLsagOed1	GCA_031835075.1	NCBI	ASM3183507v1	Chromosome	2023-09-25	The Ohio State University	91852676	148490209	15014	136	46
Saguinus_labiatus__Red-chested_mustached_tamarin__HLsagLabi1__GCA_963575005.1	Saguinus labiatus	Red-chested mustached tamarin		78454	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Callitrichinae; Saguinus	HLsagLabi1	GCA_963575005.1	NCBI	PGDP_SagLab	Scaffold	2023-11-03	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	30080	30082	11930	894	2372
Cebus_albifrons__white-fronted_capuchin__HLcebAlb2__GCA_023783575.1	Cebus albifrons	white-fronted capuchin	brown pale-fronted capuchin,pale-fronted capuchin	9514	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus	HLcebAlb2	GCA_023783575.1	NCBI	ASM2378357v1	Contig	2022-06-17	BGI-Shenzhen	18502463	18502463	13593	1455	148
Cebus_imitator__white-faced_sapajou__cebCap1__GCF_001604975.1	Cebus imitator	white-faced sapajou	Cebus capucinus imitator,white-faced capuchin,white-throated capuchin	1737458	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Cebus	cebCap1	GCF_001604975.1	NCBI	Cebus_imitator-1.0	Scaffold	2016-04-04	McDonnell Genome Institute - Washington University School of Medicine	41196	5274112	14693	259	244
Sapajus_apella__Tufted_capuchin__HLsapApe1__GCA_009761245.1	Sapajus apella	Tufted capuchin	Cebus apella,brown capuchin,black-capped capuchin,brown-capped capuchin	9515	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Sapajus	HLsapApe1	GCA_009761245.1	NCBI	GSC_monkey_1.0	Scaffold	2019-12-17	Canada's Genomic Enterprise	144042	23742480	14627	251	318
Sapajus_apella__tufted_capuchin__HLsapApe3__GCA_023762875.2	Sapajus apella	tufted capuchin	Simia apella,Cebus apella,brown capuchin,brown-capped capuchin,black-capped capuchin	9515	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Cebinae; Sapajus	HLsapApe3	GCA_023762875.2	NCBI	ASM2376287v2	Scaffold	2022-06-17	BGI-Shenzhen	12583278	12583278	13620	1474	102
Saimiri_boliviensis__Bolivian_squirrel_monkey__HLsaiBoli4__GCA_048565385.1	Saimiri boliviensis	Bolivian squirrel monkey		27679	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Saimiriinae; Saimiri	HLsaiBoli4	GCA_048565385.1	NCBI	mSaiBol1.pri	Chromosome	2025-03-12	Vertebrate Genomes Project	69222429	129414808	15082	96	18
Saimiri_sciureus__Common_squirrel_monkey__HLsaiSci1__GCA_963573345.1	Saimiri sciureus	Common squirrel monkey	Simia sciurea,South American squirrel monkey	9521	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Saimiriinae; Saimiri	HLsaiSci1	GCA_963573345.1	NCBI	PGDP_SaiSci	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	28615	28615	11318	871	3007
Saimiri_boliviensis_boliviensis__Bolivian_squirrel_monkey__HLsaiBolBol2__GCF_016699345.1	Saimiri boliviensis boliviensis	Bolivian squirrel monkey		39432	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Saimiriinae; Saimiri; Saimiri boliviensis	HLsaiBolBol2	GCF_016699345.1	NCBI	BCM_Sbol_2.0	Scaffold	2021-01-12	Baylor College of Medicine Human Genome Sequencing Center	4857773	87238321	14640	533	23
Saimiri_boliviensis_boliviensis__Bolivian_squirrel_monkey__HLsaiBolBol3__GCF_016699345.2	Saimiri boliviensis boliviensis	Bolivian squirrel monkey		39432	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Cebidae; Saimiriinae; Saimiri; Saimiri boliviensis	HLsaiBolBol3	GCF_016699345.2	NCBI	BCM_Sbol_2.1	Scaffold	2021-01-12	Baylor College of Medicine Human Genome Sequencing Center	4857773	87238321	14641	528	27
Cheracebus_lucifer__Primates__HLcheLuc1__GCA_963573755.1	Cheracebus lucifer	Primates		2487712	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Cheracebus	HLcheLuc1	GCA_963573755.1	NCBI	PGDP_CheLuc	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	46755	46755	13076	788	1332
Cheracebus_lugens__Black_titi__HLcheLug1__GCA_963574535.1	Cheracebus lugens	Black titi	Simia lugens,Callicebus lugens,Callicebus torquatus lugens	210166	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Cheracebus	HLcheLug1	GCA_963574535.1	NCBI	PGDP_CheLug	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	58812	58813	13366	633	1197
Cheracebus_regulus__Jurua_collared_titi__HLcheReg1__GCA_963574635.1	Cheracebus regulus	Jurua collared titi		1812110	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Cheracebus	HLcheReg1	GCA_963574635.1	NCBI	PGDP_CheReg	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	56688	56688	13344	643	1209
Cheracebus_torquatus__Collared_titi__HLcheTor1__GCA_963574645.1	Cheracebus torquatus	Collared titi	Callitrix torquata,Callitrix torquatus,Callicebus torquatus	30592	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Cheracebus	HLcheTor1	GCA_963574645.1	NCBI	PGDP_CheTor	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	49680	49680	13200	771	1225
Plecturocebus_bernhardi__Prince_Bernhards_titi__HLpleBer1__GCA_963574705.1	Plecturocebus bernhardi	Prince Bernhards titi	Callicebus bernhardi	1812036	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleBer1	GCA_963574705.1	NCBI	PGDP_PleBer	Scaffold	2023-11-02	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	48015	48015	13066	854	1276
Plecturocebus_brunneus__Brown_titi__HLpleBru1__GCA_963573885.1	Plecturocebus brunneus	Brown titi	Callicebus brunneus,Callithrix brunnea	1812042	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleBru1	GCA_963573885.1	NCBI	PGDP_PleBru	Scaffold	2023-11-02	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	52164	52164	13153	784	1259
Plecturocebus_caligatus__Chestnut-bellied_titi__HLpleCal1__GCA_963575255.1	Plecturocebus caligatus	Chestnut-bellied titi	Callicebus caligatus,Callithrix caligatus,Callithrix caligata	867332	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleCal1	GCA_963575255.1	NCBI	PGDP_PleCal	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	50972	50975	13163	787	1246
Plecturocebus_cinerascens__Ashy_titi__HLpleCin1__GCA_963573415.1	Plecturocebus cinerascens	Ashy titi	Callicebus cinerascens	1812037	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleCin1	GCA_963573415.1	NCBI	PGDP_PleCin	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	46753	46753	13046	801	1349
Plecturocebus_cupreus__Coppery_titi__HLpleCup1__GCA_040437455.1	Plecturocebus cupreus	Coppery titi	Callicebus cupreus,Callithrix cuprea	202457	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleCup1	GCA_040437455.1	NCBI	PleCup_hybrid	Chromosome	2024-07-02	Arizona State University	16955781	130776705	14853	317	26
Plecturocebus_donacophilus__Bolivian_titi__HLpleDon1__GCA_004027715.1	Plecturocebus donacophilus	Bolivian titi	white-eared titi,Callicebus moloch donacophilus,Bolivian gray titi,Callicebus donacophilus	230833	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleDon1	GCA_004027715.1	NCBI	CalDon_v1_BIUU	Scaffold	2019-01-16	Broad Institute	41149	46445	13186	809	1201
Plecturocebus_dubius__Primates__HLpleDub1__GCA_963575235.1	Plecturocebus dubius	Primates		2946520	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleDub1	GCA_963575235.1	NCBI	PGDP_PleDub	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	48896	48896	13080	797	1319
Plecturocebus_grovesi__Alta_Floresta_titi_monkey__HLpleGro1__GCA_963574625.1	Plecturocebus grovesi	Alta Floresta titi monkey	Plecturocebus sp. n. HB-2018	2488670	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleGro1	GCA_963574625.1	NCBI	PGDP_PleGro	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	58159	58159	13346	759	1091
Plecturocebus_hoffmannsi__Hoffmanns_titi__HLpleHof1__GCA_963575245.1	Plecturocebus hoffmannsi	Hoffmanns titi	Callicebus hoffmannsi,Callicebus hoffmansi	78255	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleHof1	GCA_963575245.1	NCBI	PGDP_PleHof	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	46107	46114	13055	825	1316
Plecturocebus_miltoni__Miltons_titi__HLpleMil1__GCA_963575275.1	Plecturocebus miltoni	Miltons titi	Callicebus miltoni	1812038	Mammalia; Theria; Eutheria; Boreoeutheria; Euarchontoglires; Primates; Haplorrhini; Simiiformes; Platyrrhini; Pitheciidae; Callicebinae; Plecturocebus	HLpleMil1	GCA_963575275.1	NCBI	PGDP_PleMil	Scaffold	2023-11-01	IBE(CSIC-UNIVERSITAT POMPEU FABRA)	54303	54303	13251	789	1156
